K,eta,C,sig_sp,start
100,0.25,0.5,0.01,0
100,0.25,0.5,5,0
100,0.25,0.5,10,0
100,0.25,1.5,0.01,0
100,0.25,1.5,5,0
100,0.25,1.5,10,0
100,0.25,3,0.01,0
100,0.25,3,5,0
100,0.25,3,10,0
500,0.25,0.5,0.01,0
500,0.25,0.5,5,0
500,0.25,0.5,10,0
500,0.25,1.5,0.01,0
500,0.25,1.5,5,0
500,0.25,1.5,10,0
500,0.25,3,0.01,0
500,0.25,3,5,0
500,0.25,3,10,0
100,0.75,0.5,0.01,0
100,0.75,0.5,5,0
100,0.75,0.5,10,0
100,0.75,1.5,0.01,0
100,0.75,1.5,5,0
100,0.75,1.5,10,0
100,0.75,3,0.01,0
100,0.75,3,5,0
100,0.75,3,10,0
500,0.75,0.5,0.01,0
500,0.75,0.5,5,0
500,0.75,0.5,10,0
500,0.75,1.5,0.01,0
500,0.75,1.5,5,0
500,0.75,1.5,10,0
500,0.75,3,0.01,0
500,0.75,3,5,0
500,0.75,3,10,0
100,0.5,0.5,0.01,0
100,0.5,0.5,5,0
100,0.5,0.5,10,0
100,0.5,1.5,0.01,0
100,0.5,1.5,5,0
100,0.5,1.5,10,0
100,0.5,3,0.01,0
100,0.5,3,5,0
100,0.5,3,10,0
500,0.5,0.5,0.01,0
500,0.5,0.5,5,0
500,0.5,0.5,10,0
500,0.5,1.5,0.01,0
500,0.5,1.5,5,0
500,0.5,1.5,10,0
500,0.5,3,0.01,0
500,0.5,3,5,0
500,0.5,3,10,0
